situation,thought,reframe,has_distortion,all-or-nothing thinking,comparing and despairing,disqualifying the positive,emotional reasoning,fortune telling,labeling,magnification,mind reading,overgeneralizing,should statements,mental filter,personalization and blaming
I called a woman I love by accident during a bad time,She will never love me now,This woman could have thought it was not a bad time. I can share my uncertainty with her and go from there,1,0,0,0,0,1,0,1,1,0,0,0,0
I called a woman I love by accident during a bad time,She will never love me now,I do not know how she felt about this call and can express that it was a mistake to her,1,0,0,0,0,0,0,0,1,0,0,0,0
"I called an old friend, but she wasn't home and didn't return my call.",Maybe she doesn't want to talk to me anymore.,I hope my friend is okay. I will let her know she can call me for support or to talk if she needs it.,1,0,0,0,0,1,0,0,1,0,0,0,0
"I called an old friend, but she wasn't home and didn't return my call.",Maybe she doesn't want to talk to me anymore.,Maybe my friend has a lot going on. She will call me back when she is free to talk.,1,0,0,0,0,1,0,0,1,0,0,0,0
I called my friend three times this past week but she hasn't answered or called/messaged me back yet.,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,Maybe my friend is busy with work or school. She will probably contact me when she gets a chance. It probably has nothing to do with me.,1,0,0,0,0,0,0,0,1,0,0,0,0
I called my friend three times this past week but she hasn't answered or called/messaged me back yet.,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,My friend is probably busy and wants to respond when she has more time to talk to me.,1,0,0,0,0,0,0,0,1,0,0,0,0
I came home to find my spouse had taken all of his things and left a note saying our marriage was over.,My marriage is over.,There are serious issues in my marriage that need to be addressed. This might be the end of our marriage or maybe we can find a way to work to rehabilitate it.,1,0,0,0,0,0,0,1,0,0,0,0,0
"I can feel everyone becoming distant with me, including my boyfriend. He just cheated on me not even a week ago and i cant bring myself to leave him no matter what he does. He does not care. I have no family, i only ever had him. Im annoying and i am never happy with anything and i hate myself for it because i want to be happy and i want to be a good person. I can feel my heart breaking more and more as i cone to the realization that i am not wanted nor needed.",I am a problem.,I am not a problem. I should reconnect with some friends because I feel like I'm distant from them.,1,0,0,0,0,0,1,0,0,0,0,0,0
"I can feel everyone becoming distant with me, including my boyfriend. He just cheated on me not even a week ago and i cant bring myself to leave him no matter what he does. He does not care. I have no family, i only ever had him. Im annoying and i am never happy with anything and i hate myself for it because i want to be happy and i want to be a good person. I can feel my heart breaking more and more as i cone to the realization that i am not wanted nor needed.",I am a problem.,"My boyfriend who cheated is the problem, not me.",1,0,0,0,0,0,1,0,0,0,0,0,0
I can't do anything right and I'm crying over spilling cereal on my bed and dress,I'm worthless,Spills are a natural part of life,1,1,0,0,0,0,0,0,0,0,0,0,0
I can't do anything right and I'm crying over spilling cereal on my bed and dress,I'm worthless,I am not a failure for spilling something,1,0,0,0,0,0,0,1,0,0,0,0,0
"I cant work out what my real personality is because my opinions and moods change all the time and Its like I change into different personalities kind of but its not different conciousmesses its just i dont know how to explain it but I think im insane because I dont know much about who I am because who I am changes and it can change very fast, is this normal?",i have no stable identity and I dont know why or if its normal,"It can be scary to feel like I have no identity, but I do have one whether or not I'm aware of it.",1,0,0,0,0,0,0,0,0,1,0,0,0
"I cant work out what my real personality is because my opinions and moods change all the time and Its like I change into different personalities kind of but its not different conciousmesses its just i dont know how to explain it but I think im insane because I dont know much about who I am because who I am changes and it can change very fast, is this normal?",i have no stable identity and I dont know why or if its normal,It's ok to not know my exact identity. That is normal.,1,0,0,0,0,0,0,0,0,1,0,0,0
I completely overreacted to my teenage son's grades.,Why isn't this kid applying himself?,"My son may be trying his best, but may have other things going on. I should try to talk to him to make sure there is nothing he is struggling with. I do not want me son to feel alone.",1,1,0,0,0,0,0,0,0,0,0,0,0
I completely overreacted to my teenage son's grades.,Why isn't this kid applying himself?,"Maybe my son is having a hard time this year. Instead of blaming him for his grades, I should try to talk to him about possibly getting a tutor. He may need some extra help outside of class, but this doesn't mean he is not trying.",1,0,0,0,0,0,0,0,0,1,0,0,0
I couldn't find my bank card and realized my husband must have taken it.,He shouldn't have taken it without asking me first.,"I can ask my partner if he has my bank card, and ask for their help in finding it if they don't have it.",1,0,0,0,0,0,0,0,0,0,0,0,1
I couldn't find my bank card and realized my husband must have taken it.,He shouldn't have taken it without asking me first.,My bank card could be in many different places and I want to check them first before making any conclusions.,1,0,0,0,0,0,0,0,0,0,0,0,1
I couldn't finish the task in time,I'm incompetent,"I may be ""incompetent"", but atleast I attempted the task",1,0,0,0,0,0,1,0,0,0,0,0,0
I couldn't finish the task in time,I'm incompetent,"I'm not ""incompetent"" as a whole. There are certain skills I possess",1,0,0,0,0,0,1,0,0,0,0,0,0
I did badly in a writing contest I entered. I did not final.,I am a bad writer.,"My submission likely had both good and bad. While I did not win this contest, I may win others in the future.",1,1,0,0,0,0,0,0,0,0,0,0,0
I did badly in a writing contest I entered. I did not final.,I am a bad writer.,"This may not have been my best work, but that doesn't mean I am a bad writer.",1,0,0,0,0,0,1,0,0,1,0,0,0
I did nothing with my day,Don't feel like I deserve fun/enjoyment,I still deserve fun and enjoyment even if I did not have a productive day.,1,1,0,0,0,0,0,0,0,0,0,0,0
I did nothing with my day,Don't feel like I deserve fun/enjoyment,It is ok to take a day off and rest.,1,1,0,0,0,0,0,0,0,0,0,0,0
I did things that made my group look bad,They hate me.,I need to be more aware of my groups needs,1,0,0,0,0,1,0,1,1,1,0,0,1
I didn't complete the tasks that I had written down earlier today.,Getting abused was my fault,"I didn't do everything I had hoped to, but I did accomplish some things. Even rest is an accomplishment.",1,0,0,1,0,0,0,0,0,0,0,0,0
I didn't complete the tasks that I had written down earlier today.,Getting abused was my fault,"I feel disappointed today, but I can learn from my mistakes and plan better in the future.",1,0,0,0,0,1,0,0,0,0,0,0,0
I didn't get as good of feedback on a work assignment as I wanted,I didn't do as good a job as I thought,I did the best I could in the moment,1,0,0,1,0,0,0,0,0,0,0,0,0
I didn't get as good of feedback on a work assignment as I wanted,I didn't do as good a job as I thought,Some things I did well and other things need work and that is okay.,1,0,0,1,0,0,0,0,0,0,0,0,0
I don't know why I am writing the essay,Nobody cares what I have to say,"Many people don't care about what I have to say. However, that is true for the vast majority of written essays",1,0,0,0,0,0,0,0,0,1,0,0,0
I don't know why I am writing the essay,Nobody cares what I have to say,Not true! People care what I have to say. My previous essay was well received,1,0,0,0,0,0,0,0,0,1,0,0,0
"I don't work. I rely heavily on my partner, I'm so easily scared",I am a burden.,"I may feel like a burden, but my partner has repeatedly told me that I am not. I want to believe them.",1,0,0,0,0,0,1,0,0,0,0,0,0
"I don't work. I rely heavily on my partner, I'm so easily scared",I am a burden.,"I struggle sometimes, but I am not a burden.",1,0,0,0,0,0,1,0,0,0,0,0,0
I failed in everything,I'll never be able to do anything,Failure is a part of the process. I can learn and grow from this. I still have time to succeed.,1,0,0,1,0,0,0,0,0,0,0,0,0
I failed in everything,I'll never be able to do anything,Just because I've failed sometimes in the past doesn't make me a failure. I can learn from my mistakes and do better in the future.,1,0,0,0,0,0,1,0,0,0,0,0,0
I failed to convince my son that he should go back to college,I am failing as a parent,"I did the best I could as a parent, and part of that was empowering my child to make their own choices.",1,0,0,0,0,0,1,1,0,0,0,0,1
I failed to convince my son that he should go back to college,I am failing as a parent,"I want my son to make his own choices for his life, and support him. I will see if he'd like to talk with me about what he wants from the future and what kind of support he would like from me.",1,0,0,0,0,0,0,1,0,0,0,0,1
I failed to turn in my planned event calendar by the due date.,I forgot something important. Again. My boss is going to kill me.,I made a mistake but I can learn from this. I will be more efficient with my time next time so to get my work in by the deadline.,1,0,0,0,0,1,0,1,0,0,0,0,0
I failed to turn in my planned event calendar by the due date.,I forgot something important. Again. My boss is going to kill me.,My boss may talk with me about the tardiness of my work but I will get through it.,1,0,0,0,0,1,0,1,0,0,0,0,0
I forgot to give my boss an important message when I was at work. The customer who left the message ended up being very angry because they had a problem that needed to be resolved My boss was pretty upset with me and the customer may take his business elsewhere,I feel like a failure,"i'm not a failure, i made a mistake. i hope my boss can forgive me",1,0,0,0,0,0,1,0,0,0,0,0,0
I forgot to give my boss an important message when I was at work. The customer who left the message ended up being very angry because they had a problem that needed to be resolved My boss was pretty upset with me and the customer may take his business elsewhere,I feel like a failure,it makes sense that the customer and my boss were upset.,0,0,0,0,0,0,0,0,0,0,0,0,0
"I found a job I thought was perfect for me in the field I used to work in and love very much. A few days after putting in a resume and lining up several references, I found out the job was filled and I didn't even get so much as an acknowledgment of my application much less an interview when I was extremely qualified.",why can't I ever get anything I want,"I get some things I want and some things do not work out, my life is a balance of the two.",1,1,0,0,0,0,0,0,0,0,0,0,0
"I found a job I thought was perfect for me in the field I used to work in and love very much. A few days after putting in a resume and lining up several references, I found out the job was filled and I didn't even get so much as an acknowledgment of my application much less an interview when I was extremely qualified.",why can't I ever get anything I want,There are many reasons why the position could have been filled including it was filled prior to my submission.,1,0,0,0,0,0,0,0,0,1,0,0,0
I gained a little weight while trying to diet,I'm not succeeding,"I may not be succeeding, but I'm making an effort to diet",1,1,0,0,0,0,0,0,0,0,0,0,0
I gained a little weight while trying to diet,I'm not succeeding,I'm going to succeessfully lose weight. A little weight shouldn't affect me,1,1,0,0,0,0,0,0,0,0,0,0,0
I gained weight,I feel like I need to die to be happy.,"There are some things I don't like about myself, but there are also some things I do like about myself. I can focus on those when I feel bad about myself.",1,0,0,1,0,0,0,0,0,0,0,0,0
I gained weight,I feel like I need to die to be happy.,"My body does some amazing things. I don't always have to love the way it looks, but I can still be grateful for the things my body does for me.",1,0,0,1,0,0,0,0,0,0,0,0,0
I got a parking ticket because my sister forgot to register for overnight parking in front of my house.,I am responsible for her mistakes.,My sister's mistake is not my responsibility.,1,0,0,0,0,0,0,0,0,0,0,0,1
I got a parking ticket because my sister forgot to register for overnight parking in front of my house.,I am responsible for her mistakes.,"My sister made a mistake, but that doesn't mean I should be blamed.",1,0,0,0,0,0,0,0,0,0,0,0,1
I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme,Why did I overact like this,I was upset by this action and that is okay,1,0,0,0,0,0,0,1,0,0,0,0,0
I got in a fight with my roommate over the bathroom,He's so damn inconsiderate,"My roommate may not have known that I needed to use the bathroom at the time. He probably would have given me the time to use the bathroom if I had known I needed to use it. Next time this happens, I should be transparent about my schedule.",1,0,0,0,0,0,1,0,0,0,0,0,0
I got in a fight with my roommate over the bathroom,He's so damn inconsiderate,My roommate was probably upset like I was. Maybe I was the one not being considerate in the moment. I should apologize to him.,1,0,0,0,0,0,1,0,0,0,0,0,0
I got into a minor car crash.,I messed up big time.,I only scratched the bumper. I can get that fixed easily.,1,0,0,0,0,0,0,1,0,0,0,0,0
I got into a minor car crash.,I messed up big time.,I will drive more carefully next time.,0,0,0,0,0,0,0,0,0,0,0,0,0
I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team.,I wasn't valued as much as the other person.,I should ask my boss why I was not selected for the promotion. Maybe the reason will be something other than my work ethic. Maybe my boss will reassure that I am still valuable to the company.,1,0,0,0,0,0,0,0,0,0,0,0,1
I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team.,I wasn't valued as much as the other person.,The promotion is temporary. Maybe my boss wants to promote me to a permanent position instead. I am still a good employee and maybe my promotion will come later.,1,0,0,0,0,0,0,0,0,0,0,0,1
